latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR
-14.88801,-63.19644,20240518,27.31,33.64,21.18,63.5,4.07,98.53,15.98,0.41,13.98,7.96,14.16,0.61,0.93,4.54,0.49,0.16,0.0,0.0
-14.88801,-63.19644,20240519,25.28,29.61,21.94,60.12,3.46,98.74,15.97,0.41,12.08,7.93,12.15,1.23,1.55,4.54,0.49,0.87,0.0,0.0
-14.88801,-63.19644,20240520,24.7,31.71,19.3,57.94,2.83,98.61,15.96,0.41,11.11,7.9,11.29,0.85,1.28,4.54,0.49,0.26,0.0,0.0
-16.31787,38.55065,20240518,24.83,30.16,22.05,81.94,3.81,100.46,14.65,0.62,15.5,7.7,15.75,4.25,6.91,0.07,0.64,2.12,0.0,6.09
-16.31787,38.55065,20240519,24.81,30.05,21.87,76.19,3.48,100.48,14.64,0.62,14.28,7.67,14.47,5.13,7.36,0.07,0.64,3.5,0.0,4.21
-16.31787,38.55065,20240520,24.79,30.08,21.64,70.5,3.0,100.6,14.63,0.62,13.12,7.64,13.31,5.05,7.42,0.07,0.64,3.36,0.0,0.56
-16.48339,36.66083,20240518,22.02,26.48,19.16,88.75,2.95,98.33,14.65,0.61,14.59,7.7,14.89,3.34,5.4,0.09,0.61,1.66,0.0,6.36
-16.48339,36.66083,20240519,21.51,26.05,18.97,84.69,2.66,98.41,14.64,0.61,13.37,7.67,13.61,4.02,5.8,0.09,0.61,2.69,0.0,2.25
-16.48339,36.66083,20240520,21.41,26.28,18.23,82.88,2.5,98.52,14.63,0.6,12.94,7.64,13.18,4.13,6.16,0.09,0.61,2.73,0.0,2.6
-12.16454,35.89503,20240518,21.46,26.91,16.67,84.06,2.49,93.11,14.65,0.77,13.73,8.21,14.34,2.21,3.31,0.07,0.84,1.59,0.0,1.11
-12.16454,35.89503,20240519,21.06,26.21,17.08,85.12,2.66,93.12,14.64,0.77,13.67,8.19,14.16,3.01,4.92,0.07,0.84,2.05,0.0,1.69
-12.16454,35.89503,20240520,19.57,25.5,14.53,79.94,2.41,93.26,14.63,0.77,11.41,8.16,11.9,3.15,5.3,0.07,0.83,2.37,0.0,0.04
-15.40156,-64.02056,20240518,25.83,31.23,20.27,75.56,4.0,99.16,15.98,0.49,15.32,7.83,15.56,0.75,1.36,4.54,0.55,0.13,0.0,0.03
-15.40156,-64.02056,20240519,22.51,25.83,19.42,64.75,4.02,99.44,15.97,0.49,11.05,7.8,11.11,1.36,1.68,4.54,0.55,1.05,0.0,0.0
-15.40156,-64.02056,20240520,22.55,28.77,17.65,66.06,3.2,99.26,15.96,0.49,11.23,7.77,11.41,0.82,1.23,4.54,0.55,0.04,0.0,0.0
-15.76833,39.27831,20240518,25.55,31.88,22.29,79.75,4.2,100.23,15.98,0.61,15.69,7.83,15.87,4.41,6.98,0.07,0.66,2.44,0.0,4.37
-15.76833,39.27831,20240519,25.28,31.44,22.08,75.62,3.83,100.24,15.97,0.62,14.59,7.8,14.77,5.16,7.49,0.07,0.66,3.55,0.0,2.85
-15.76833,39.27831,20240520,25.3,31.41,21.78,67.94,3.22,100.37,15.96,0.62,13.0,7.78,13.12,5.16,7.36,0.07,0.66,3.55,0.0,0.27
-30.12763,-58.56616,20240518,10.23,15.52,5.74,84.69,1.55,101.62,14.65,0.9,6.29,5.69,6.41,2.11,2.89,1.76,0.88,1.48,0.0,0.0
-30.12763,-58.56616,20240519,10.29,16.24,5.44,83.62,1.07,101.72,14.64,0.9,6.1,5.66,6.29,1.68,2.19,1.76,0.87,1.23,0.0,0.0
-30.12763,-58.56616,20240520,9.49,16.99,3.65,86.56,0.81,101.16,14.63,0.89,6.23,5.62,6.35,1.99,2.73,1.75,0.87,1.52,0.0,0.0
-12.16957,-50.08718,20240518,29.3,38.05,21.35,39.69,1.8,98.93,15.98,0.6,8.91,8.21,9.4,2.3,3.34,1.69,0.62,1.47,0.0,0.0
-12.16957,-50.08718,20240519,29.82,38.46,21.05,37.0,1.63,98.9,15.97,0.6,8.54,8.18,9.16,1.87,2.32,1.69,0.62,1.34,0.0,0.01
-12.16957,-50.08718,20240520,30.26,37.87,22.61,43.69,1.8,98.87,15.96,0.6,11.29,8.15,11.66,2.12,2.94,1.69,0.62,1.52,0.0,0.01
