latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR
-12.904190690896659,-9.429409773178428,20240518,25.37,25.51,25.12,78.19,2.5,101.6,14.65,-999.0,15.01,8.21,15.69,7.95,8.57,0.0,-999.0,6.82,-999.0,0.0
-12.904190690896659,-9.429409773178428,20240519,24.98,25.21,24.69,80.44,2.07,101.48,14.64,-999.0,15.14,8.18,15.75,8.09,8.9,0.0,-999.0,6.62,-999.0,0.0
-12.904190690896659,-9.429409773178428,20240520,24.66,24.76,24.52,78.5,1.92,101.56,14.63,-999.0,14.4,8.16,15.08,7.52,8.14,0.0,-999.0,6.59,-999.0,0.0
14.820580335579024,-1.3276144533987377,20240518,38.33,45.15,31.61,24.31,3.29,97.57,18.64,0.13,9.95,10.66,9.95,4.42,6.64,0.01,0.13,2.82,0.0,0.01
14.820580335579024,-1.3276144533987377,20240519,37.92,44.28,31.48,27.25,2.78,97.44,18.63,0.13,11.11,10.66,11.11,2.38,3.34,0.01,0.13,1.3,0.0,0.0
14.820580335579024,-1.3276144533987377,20240520,38.37,44.83,31.73,29.5,2.82,97.45,18.62,0.12,12.21,10.65,12.21,3.72,5.78,0.01,0.13,2.56,0.0,0.0
-25.061701399227434,-4.266503031040202,20240518,20.99,21.24,20.56,71.75,1.91,102.2,14.65,-999.0,10.5,6.45,10.93,3.45,4.88,0.0,-999.0,1.72,-999.0,0.01
-25.061701399227434,-4.266503031040202,20240519,20.95,21.26,20.73,75.06,2.09,101.97,14.64,-999.0,11.05,6.41,11.41,3.28,4.37,0.0,-999.0,1.6,-999.0,0.02
-25.061701399227434,-4.266503031040202,20240520,21.59,22.26,20.67,69.88,2.16,101.86,14.63,-999.0,10.68,6.38,11.11,2.55,3.46,0.0,-999.0,1.65,-999.0,0.03
-18.705953114011635,30.777263457037392,20240518,18.03,28.29,9.98,43.94,1.11,87.5,15.98,0.39,5.43,7.44,5.43,4.4,5.95,0.05,0.42,3.0,0.0,0.0
-18.705953114011635,30.777263457037392,20240519,16.86,26.29,9.3,55.56,1.1,87.55,15.97,0.39,6.65,7.41,6.65,5.77,8.02,0.05,0.42,4.12,0.0,0.0
-18.705953114011635,30.777263457037392,20240520,17.26,26.19,11.08,65.06,1.19,87.64,15.96,0.39,8.24,7.37,8.24,5.41,7.14,0.05,0.42,3.68,0.0,0.01
3.0877020833373763,27.31363575900572,20240518,25.06,29.85,21.46,86.38,4.54,92.92,15.98,0.68,18.13,9.89,18.37,0.88,1.28,4.22,0.74,0.59,0.0,4.87
3.0877020833373763,27.31363575900572,20240519,24.01,26.69,22.35,93.06,4.4,92.97,15.97,0.69,18.55,9.88,18.8,0.61,1.12,4.22,0.74,0.15,0.0,7.44
3.0877020833373763,27.31363575900572,20240520,24.83,29.19,21.83,87.88,4.39,93.02,15.96,0.7,18.01,9.86,18.43,0.7,1.27,4.22,0.74,0.3,0.0,3.41
-21.981374568515122,-24.77719966448509,20240518,24.32,24.69,24.13,79.75,2.8,102.0,14.65,-999.0,14.53,7.02,14.95,3.52,4.63,0.0,-999.0,2.12,-999.0,0.01
-21.981374568515122,-24.77719966448509,20240519,24.19,24.55,23.82,81.94,2.85,101.92,14.64,-999.0,14.95,6.99,15.26,2.06,3.27,0.0,-999.0,1.08,-999.0,0.05
-21.981374568515122,-24.77719966448509,20240520,24.37,24.64,24.08,79.19,2.77,102.0,14.63,-999.0,14.53,6.95,14.89,2.34,3.34,0.0,-999.0,1.26,-999.0,0.15
-15.075580356147395,27.77679606799404,20240518,20.66,29.51,13.63,55.5,1.54,89.16,15.98,0.49,8.73,7.83,8.79,3.84,5.57,0.08,0.51,2.26,0.0,0.0
-15.075580356147395,27.77679606799404,20240519,20.12,28.82,13.75,55.12,1.56,89.2,15.97,0.49,8.36,7.8,8.48,4.53,7.52,0.08,0.51,2.59,0.0,0.0
-15.075580356147395,27.77679606799404,20240520,18.82,27.72,11.87,53.69,1.36,89.29,15.96,0.49,7.51,7.77,7.57,5.3,8.37,0.08,0.51,3.21,0.0,0.0
8.05497680609934,24.078584469953242,20240518,30.58,37.4,25.29,54.81,3.3,92.07,17.31,0.43,15.2,10.28,15.62,2.61,4.28,0.06,0.43,0.58,0.0,1.29
8.05497680609934,24.078584469953242,20240519,26.68,30.44,23.83,75.06,4.12,92.17,17.3,0.43,17.52,10.27,17.64,4.04,5.6,0.06,0.43,2.59,0.0,1.59
8.05497680609934,24.078584469953242,20240520,27.02,32.95,22.55,68.19,4.2,92.2,17.29,0.43,15.75,10.26,15.93,3.34,4.31,0.06,0.43,2.7,0.0,1.91
-14.657311406302863,-56.588448370379126,20240518,28.53,36.15,22.37,54.69,1.44,97.75,15.98,0.48,12.08,7.96,12.57,2.02,3.45,0.31,0.49,1.02,0.0,0.03
-14.657311406302863,-56.588448370379126,20240519,26.56,33.32,21.75,60.19,1.8,97.93,15.97,0.48,12.63,7.93,12.82,3.02,5.23,0.31,0.49,1.6,0.0,0.0
-14.657311406302863,-56.588448370379126,20240520,25.13,33.38,18.82,57.88,1.68,97.82,15.96,0.48,10.68,7.9,11.05,2.58,4.31,0.31,0.49,1.78,0.0,0.0
23.14600782154892,-60.37991841730312,20240518,26.74,26.98,26.4,84.19,3.81,101.76,18.64,-999.0,17.94,11.04,18.25,1.83,2.63,0.0,-999.0,0.91,-999.0,0.07
23.14600782154892,-60.37991841730312,20240519,26.88,27.25,26.42,80.25,3.91,101.67,18.63,-999.0,17.27,11.05,17.58,1.41,2.16,0.0,-999.0,0.41,-999.0,0.03
23.14600782154892,-60.37991841730312,20240520,27.44,27.9,26.67,77.06,3.88,101.57,18.62,-999.0,17.03,11.05,17.46,2.44,3.65,0.0,-999.0,0.61,-999.0,0.22
-29.841643895858773,-0.668400313854562,20240518,20.8,21.08,20.51,87.31,2.72,102.08,13.31,-999.0,12.94,5.85,13.18,5.7,6.84,0.0,-999.0,4.6,-999.0,2.27
-29.841643895858773,-0.668400313854562,20240519,20.87,21.03,20.75,88.81,2.43,101.74,13.31,-999.0,13.24,5.81,13.49,8.04,9.77,0.0,-999.0,7.19,-999.0,1.54
-29.841643895858773,-0.668400313854562,20240520,20.24,21.16,18.97,80.94,2.87,101.55,13.3,-999.0,11.47,5.78,11.9,9.66,11.56,0.0,-999.0,6.44,-999.0,5.02
-11.860373725675629,-56.868274848201516,20240518,26.26,32.68,21.77,72.12,1.92,97.74,15.98,0.65,14.89,8.33,15.08,0.8,1.16,4.54,0.73,0.29,0.0,0.15
-11.860373725675629,-56.868274848201516,20240519,25.19,32.33,19.44,68.38,2.04,97.8,15.97,0.65,13.12,8.3,13.24,0.98,1.34,4.54,0.73,0.6,0.0,0.0
-11.860373725675629,-56.868274848201516,20240520,24.15,31.91,18.05,69.44,1.77,97.73,15.96,0.64,12.51,8.28,12.63,0.85,1.25,4.54,0.72,0.64,0.0,0.0
-7.690802374198807,-39.061380937615525,20240518,26.07,32.88,21.68,76.5,3.95,95.72,15.98,0.55,15.93,8.8,16.36,2.97,4.34,0.08,0.56,1.37,0.0,7.63
-7.690802374198807,-39.061380937615525,20240519,25.41,31.43,21.58,75.62,4.05,95.75,15.97,0.56,15.38,8.77,15.56,3.34,5.0,0.08,0.57,0.62,0.0,1.16
-7.690802374198807,-39.061380937615525,20240520,24.83,31.24,20.82,76.31,3.59,95.8,15.96,0.56,14.95,8.75,15.2,3.7,4.72,0.08,0.57,2.3,0.0,2.24
-8.232333224690635,-60.1450546367045,20240518,26.84,29.99,24.3,88.12,5.22,99.71,15.98,0.78,19.23,8.68,19.59,0.7,1.11,4.55,0.84,0.27,0.0,1.21
-8.232333224690635,-60.1450546367045,20240519,26.35,30.02,23.26,90.0,4.03,99.7,15.97,0.77,19.17,8.66,19.47,0.98,1.45,4.55,0.83,0.2,0.0,0.45
-8.232333224690635,-60.1450546367045,20240520,24.91,28.69,21.92,90.88,2.82,99.65,15.96,0.77,17.94,8.63,18.07,0.79,1.43,4.55,0.83,0.25,0.0,12.76
4.182263925839443,-33.651677728960344,20240518,27.94,28.32,27.59,85.38,5.43,101.26,15.98,-999.0,19.53,9.97,20.02,3.45,4.78,0.0,-999.0,2.76,-999.0,3.58
4.182263925839443,-33.651677728960344,20240519,27.51,27.66,27.24,84.31,5.56,101.26,15.97,-999.0,18.86,9.96,19.29,2.62,3.08,0.0,-999.0,2.03,-999.0,4.72
4.182263925839443,-33.651677728960344,20240520,27.68,28.04,27.19,80.06,5.62,101.28,17.29,-999.0,18.01,9.95,18.43,2.45,3.24,0.0,-999.0,1.44,-999.0,4.18
-7.150490334338333,-51.72310397347479,20240518,29.13,37.24,23.3,62.31,2.77,98.24,15.98,0.62,14.4,8.8,14.65,0.97,1.45,4.4,0.65,0.3,0.0,1.63
-7.150490334338333,-51.72310397347479,20240519,29.3,36.54,22.83,63.69,2.74,98.23,15.97,0.62,15.26,8.77,15.5,0.91,1.22,4.4,0.65,0.32,0.0,0.21
-7.150490334338333,-51.72310397347479,20240520,28.13,33.05,24.11,66.5,3.81,98.23,15.96,0.62,15.32,8.75,15.62,0.84,1.08,4.4,0.65,0.45,0.0,0.39
13.711161213049692,-8.919939942901479,20240518,34.27,40.64,27.76,42.88,4.72,97.11,17.31,0.34,13.67,10.6,14.16,2.52,4.28,0.02,0.34,0.56,0.0,0.21
13.711161213049692,-8.919939942901479,20240519,34.96,40.19,29.62,38.31,4.84,96.93,17.3,0.34,12.88,10.6,13.37,2.53,3.88,0.02,0.34,0.71,0.0,0.71
13.711161213049692,-8.919939942901479,20240520,35.65,43.58,28.0,31.56,3.41,96.86,17.29,0.34,10.19,10.6,10.68,3.1,4.31,0.02,0.34,1.55,0.0,0.0
22.855230399320583,4.122247839198394,20240518,35.49,42.29,28.62,20.56,1.27,92.93,17.31,0.33,7.57,11.01,7.63,2.95,4.9,0.01,0.33,0.73,0.0,0.07
