latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR,wild_fire_occurred
-9.463133020728783,-64.31292394242318,20240520,25.52,29.26,22.4,83.75,3.77,99.76,15.96,0.68,16.72,8.52,17.09,0.8,1.16,4.43,0.72,0.43,0.0,0.08,0
-10.671363113844471,17.474956175425177,20240518,23.53,32.43,14.88,39.19,2.11,89.11,15.98,0.42,6.84,8.45,7.32,3.48,6.96,0.08,0.42,1.31,0.0,0.41,0
-10.671363113844471,17.474956175425177,20240519,23.83,32.99,15.94,37.88,2.21,89.07,15.97,0.41,6.77,8.43,7.26,4.09,7.23,0.08,0.42,2.0,0.0,0.39,0
-10.671363113844471,17.474956175425177,20240520,23.63,32.51,15.69,38.31,1.98,89.1,15.96,0.41,6.84,8.4,7.32,4.28,7.45,0.08,0.42,2.03,0.0,0.65,0
1.5857684533292158,15.15407902688257,20240518,25.31,27.66,23.3,93.19,5.02,95.7,15.98,0.67,19.59,9.71,19.71,0.48,0.95,4.54,0.72,0.12,0.0,1.12,0
1.5857684533292158,15.15407902688257,20240519,25.65,28.85,23.09,90.88,5.05,95.66,15.97,0.67,19.41,9.7,19.59,0.61,1.07,4.54,0.72,0.27,0.0,1.94,0
1.5857684533292158,15.15407902688257,20240520,26.15,29.39,23.12,89.5,4.85,95.68,15.96,0.66,19.65,9.68,19.9,0.57,1.16,4.54,0.72,0.18,0.0,1.84,0
-22.804723960601663,21.00129949270206,20240518,20.13,29.43,12.43,28.94,0.8,88.58,14.65,0.23,4.46,6.88,4.52,3.19,5.36,0.03,0.24,1.58,0.0,0.0,0
-22.804723960601663,21.00129949270206,20240519,19.15,28.51,11.52,31.56,0.77,88.59,14.64,0.23,4.52,6.85,4.58,3.71,6.01,0.03,0.24,2.59,0.0,0.0,0
-22.804723960601663,21.00129949270206,20240520,18.44,27.4,11.15,36.69,0.86,88.7,14.63,0.23,5.19,6.81,5.25,3.95,5.7,0.03,0.24,2.97,0.0,0.0,0
-7.530036717280705,29.751307924901923,20240518,18.65,23.57,15.54,85.69,2.02,84.36,15.98,0.85,13.12,8.8,13.49,3.25,4.66,0.58,0.89,2.42,0.0,0.84,0
-7.530036717280705,29.751307924901923,20240519,18.63,23.26,15.69,85.69,1.88,84.32,15.97,0.84,13.12,8.78,13.49,3.26,4.59,0.58,0.88,2.54,0.0,1.34,0
-7.530036717280705,29.751307924901923,20240520,18.5,22.87,15.94,86.69,1.78,84.35,15.96,0.85,13.18,8.75,13.55,3.72,5.27,0.58,0.88,2.47,0.0,3.11,0
6.996986163322369,15.304607901699695,20240518,27.05,33.58,21.33,67.62,4.01,89.85,15.98,0.6,15.2,10.13,15.99,2.51,4.08,0.12,0.7,0.97,0.0,3.28,0
6.996986163322369,15.304607901699695,20240519,25.66,31.69,21.81,73.25,4.03,89.87,15.97,0.6,15.93,10.12,16.3,3.42,5.59,0.12,0.7,1.68,0.0,2.62,0
6.996986163322369,15.304607901699695,20240520,26.01,33.72,21.21,66.38,3.98,89.91,15.96,0.6,14.28,10.11,14.65,3.14,4.83,0.12,0.7,0.35,0.0,0.08,0
23.35210300091643,18.63726467510608,20240518,30.81,39.15,22.91,13.19,1.16,94.62,18.64,0.2,3.6,11.04,3.6,6.21,8.67,0.01,0.2,4.3,0.0,0.0,0
23.35210300091643,18.63726467510608,20240519,31.51,40.48,22.48,11.31,1.16,94.42,18.63,0.2,3.11,11.04,3.11,5.39,7.55,0.01,0.2,4.01,0.0,0.0,0
23.35210300091643,18.63726467510608,20240520,32.64,41.86,23.39,10.06,0.95,94.35,18.62,0.2,2.99,11.05,2.99,4.89,5.9,0.01,0.2,4.11,0.0,0.0,0
14.251808485605942,15.894199460873963,20240518,32.06,41.32,23.76,11.06,0.77,97.08,17.31,0.14,3.05,10.66,3.11,6.05,9.65,0.01,0.15,3.48,0.0,0.0,0
14.251808485605942,15.894199460873963,20240519,33.01,42.15,24.2,8.19,0.78,96.95,17.3,0.14,2.5,10.66,2.5,3.53,5.7,0.01,0.14,1.55,0.0,0.0,0
14.251808485605942,15.894199460873963,20240520,33.83,42.53,25.12,10.5,1.16,97.02,17.29,0.14,3.6,10.65,3.66,3.3,4.71,0.01,0.14,2.01,0.0,0.0,0
-7.7928203070634865,17.594084745504745,20240518,27.0,35.54,18.8,42.56,2.99,93.18,15.98,0.27,9.03,8.8,9.34,2.45,4.68,1.01,0.28,1.71,0.0,0.42,0
-7.7928203070634865,17.594084745504745,20240519,26.67,35.41,20.67,52.88,2.9,93.13,15.97,0.29,10.56,8.78,11.6,2.52,4.61,1.0,0.29,1.49,0.0,26.7,0
-7.7928203070634865,17.594084745504745,20240520,25.3,33.94,17.35,56.75,2.7,93.18,15.96,0.32,10.62,8.75,11.17,2.52,4.7,1.0,0.31,1.77,0.0,0.57,0
12.34617154825198,12.83671816326124,20240518,34.44,43.27,26.36,9.12,0.87,97.32,17.31,0.26,2.87,10.54,2.93,4.56,7.47,0.01,0.26,2.83,0.0,0.0,0
12.34617154825198,12.83671816326124,20240519,34.8,44.05,26.01,9.06,1.05,97.21,17.3,0.26,3.05,10.54,3.05,4.27,6.02,0.01,0.26,2.53,0.0,0.0,0
12.34617154825198,12.83671816326124,20240520,35.26,43.94,26.44,9.38,0.94,97.26,17.29,0.26,3.54,10.53,3.54,2.77,3.66,0.01,0.26,1.77,0.0,0.0,0
-17.42084699651543,-56.526656510458814,20240518,29.34,35.51,24.49,57.75,1.98,100.0,14.65,0.39,14.16,7.56,14.4,1.91,4.89,0.08,0.39,0.42,0.0,0.52,0
-17.42084699651543,-56.526656510458814,20240519,25.45,31.41,21.19,56.81,2.44,100.3,14.64,0.39,11.29,7.53,11.35,4.17,5.55,0.08,0.39,3.1,0.0,0.0,0
-17.42084699651543,-56.526656510458814,20240520,26.01,33.33,18.81,50.75,2.08,100.11,14.63,0.38,10.01,7.5,10.25,1.9,3.38,0.08,0.39,0.16,0.0,0.0,0
-20.25279449481212,-59.09592217721385,20240518,19.87,23.78,16.42,69.94,3.77,100.49,15.98,0.56,9.95,7.16,10.01,4.56,5.41,0.08,0.56,3.62,0.0,0.55,0
-20.25279449481212,-59.09592217721385,20240519,18.68,24.79,14.13,56.25,2.96,100.74,15.97,0.56,7.14,7.12,7.2,3.99,5.09,0.08,0.56,2.55,0.0,0.0,0
-20.25279449481212,-59.09592217721385,20240520,20.81,29.21,13.04,53.0,2.24,100.26,15.96,0.56,7.75,7.09,7.81,2.98,4.73,0.08,0.56,1.7,0.0,0.0,0
-8.359175455983895,-38.678419068377046,20240518,26.19,32.9,21.85,76.88,4.34,96.71,17.31,0.61,16.11,8.68,16.42,3.31,4.12,0.07,0.61,2.5,0.0,5.1,0
-8.359175455983895,-38.678419068377046,20240519,24.25,28.38,21.67,82.31,4.46,96.78,15.97,0.62,15.69,8.66,15.93,4.18,5.91,0.07,0.62,2.0,0.0,8.63,0
-8.359175455983895,-38.678419068377046,20240520,24.86,30.99,20.8,76.56,3.55,96.81,15.96,0.62,14.89,8.64,15.2,3.5,4.67,0.07,0.62,2.09,0.0,1.87,0
34.61085975560528,2.9109768055763965,20240518,22.9,30.9,15.37,33.44,0.96,88.77,18.64,0.34,5.62,11.19,5.68,3.8,6.6,0.02,0.34,0.66,0.0,0.15,0
34.61085975560528,2.9109768055763965,20240519,22.22,31.48,12.28,39.0,1.46,88.62,18.63,0.34,5.98,11.21,6.04,4.62,8.6,0.02,0.34,0.48,0.0,0.0,0
34.61085975560528,2.9109768055763965,20240520,16.91,24.05,10.46,47.81,1.3,88.9,18.62,0.34,5.98,11.23,5.98,7.83,10.66,0.02,0.34,4.66,0.0,0.15,0
-1.8607364725389035,-49.89720262888096,20240518,25.64,26.44,24.82,96.81,5.95,101.04,15.98,0.99,19.71,9.43,19.84,0.88,1.39,3.73,0.98,0.32,0.0,15.0,0
-1.8607364725389035,-49.89720262888096,20240519,26.6,29.4,24.44,92.25,5.17,100.99,15.97,0.99,19.84,9.41,19.96,1.1,1.53,3.73,0.97,0.62,0.0,1.44,0
-1.8607364725389035,-49.89720262888096,20240520,27.13,30.19,24.75,90.56,4.85,100.95,15.96,0.98,19.96,9.39,20.2,1.11,1.38,3.73,0.97,0.63,0.0,2.58,0
26.024646634257174,10.346317478869778,20240518,33.02,41.99,24.55,16.75,1.53,94.25,18.64,0.43,4.7,11.11,4.76,4.03,5.55,0.01,0.43,3.09,0.0,0.21,0
26.024646634257174,10.346317478869778,20240519,33.9,42.33,26.64,16.5,1.51,94.14,18.63,0.43,5.07,11.12,5.07,3.87,5.12,0.01,0.43,0.87,0.0,0.0,0
26.024646634257174,10.346317478869778,20240520,32.94,40.74,25.55,19.19,1.65,94.15,18.62,0.43,6.29,11.13,6.29,3.04,7.81,0.01,0.43,0.77,0.0,0.0,0
-4.583122761556137,30.549652383166062,20240518,23.43,29.35,18.66,72.75,2.3,88.41,15.98,0.49,14.04,9.13,14.47,2.51,4.2,0.91,0.58,1.69,0.0,0.09,0
-4.583122761556137,30.549652383166062,20240519,23.23,29.37,17.87,72.0,2.49,88.37,15.97,0.48,13.73,9.11,14.16,2.69,4.62,0.9,0.58,1.79,0.0,0.17,0
-4.583122761556137,30.549652383166062,20240520,23.14,28.94,18.31,71.81,2.55,88.4,15.96,0.48,13.67,9.09,14.1,2.59,4.55,0.9,0.57,1.61,0.0,0.13,0
10.179074799391763,8.085183947223186,20240518,28.26,36.63,21.73,60.56,1.11,92.75,17.31,0.52,13.18,10.42,14.22,2.24,3.95,0.05,0.53,1.27,0.0,0.01,0
10.179074799391763,8.085183947223186,20240519,27.49,35.24,20.55,66.25,1.43,92.73,17.3,0.51,14.83,10.41,15.38,2.26,3.28,0.05,0.53,1.06,0.0,0.02,0
10.179074799391763,8.085183947223186,20240520,28.39,35.68,22.55,66.94,1.79,92.8,17.29,0.51,15.99,10.4,16.48,2.42,4.3,0.05,0.52,0.88,0.0,0.08,0
32.14470857058305,2.387737115350717,20240518,27.39,35.83,19.39,24.69,1.09,94.32,18.64,0.18,5.0,11.18,5.07,5.52,10.45,0.02,0.19,1.88,0.0,0.0,0
32.14470857058305,2.387737115350717,20240519,27.63,35.77,18.51,15.5,1.25,94.18,18.63,0.18,3.36,11.2,3.42,6.55,10.56,0.02,0.18,2.91,0.0,0.0,0
32.14470857058305,2.387737115350717,20240520,24.95,31.38,18.11,24.06,1.37,94.47,18.62,0.18,4.82,11.22,4.82,4.48,8.36,0.02,0.18,1.67,0.0,0.0,0
-20.77603111666664,13.75544440417221,20240518,26.1,36.08,19.67,22.75,0.91,98.81,15.98,0.2,3.97,7.16,4.39,4.69,8.0,0.01,0.22,1.5,0.0,0.0,0
-20.77603111666664,13.75544440417221,20240519,25.39,36.1,19.68,22.31,0.77,98.78,15.97,0.2,3.78,7.13,4.15,5.1,9.2,0.01,0.22,1.54,0.0,0.0,0
-20.77603111666664,13.75544440417221,20240520,26.61,36.37,19.5,19.31,0.73,98.75,15.96,0.2,3.42,7.1,3.91,5.87,9.46,0.01,0.22,1.96,0.0,0.0,0
-8.63947303409715,-46.32434882951901,20240518,29.19,36.35,22.8,44.25,2.77,96.21,15.98,0.39,10.74,8.68,11.23,3.46,6.64,0.07,0.51,1.54,0.0,0.0,0
-8.63947303409715,-46.32434882951901,20240519,29.31,36.54,22.26,46.12,3.72,96.19,15.97,0.38,11.54,8.66,11.9,3.02,5.73,0.07,0.51,1.79,0.0,0.02,0
-8.63947303409715,-46.32434882951901,20240520,29.51,35.91,23.59,50.31,2.98,96.2,15.96,0.38,12.76,8.64,13.0,3.48,6.37,0.07,0.51,1.76,0.0,0.1,0
14.820580335579024,-1.3276144533987375,20240518,38.33,45.15,31.61,24.31,3.29,97.57,18.64,0.13,9.95,10.66,9.95,4.42,6.64,0.01,0.13,2.82,0.0,0.01,0
14.820580335579024,-1.3276144533987375,20240519,37.92,44.28,31.48,27.25,2.78,97.44,18.63,0.13,11.11,10.66,11.11,2.38,3.34,0.01,0.13,1.3,0.0,0.0,0
14.820580335579024,-1.3276144533987375,20240520,38.37,44.83,31.73,29.5,2.82,97.45,18.62,0.12,12.21,10.65,12.21,3.72,5.78,0.01,0.13,2.56,0.0,0.0,0
-18.705953114011635,30.777263457037392,20240518,18.03,28.29,9.98,43.94,1.11,87.5,15.98,0.39,5.43,7.44,5.43,4.4,5.95,0.05,0.42,3.0,0.0,0.0,0
-18.705953114011635,30.777263457037392,20240519,16.86,26.29,9.3,55.56,1.1,87.55,15.97,0.39,6.65,7.41,6.65,5.77,8.02,0.05,0.42,4.12,0.0,0.0,0
-18.705953114011635,30.777263457037392,20240520,17.26,26.19,11.08,65.06,1.19,87.64,15.96,0.39,8.24,7.37,8.24,5.41,7.14,0.05,0.42,3.68,0.0,0.01,0
3.0877020833373763,27.31363575900572,20240518,25.06,29.85,21.46,86.38,4.54,92.92,15.98,0.68,18.13,9.89,18.37,0.88,1.28,4.22,0.74,0.59,0.0,4.87,0
3.0877020833373763,27.31363575900572,20240519,24.01,26.69,22.35,93.06,4.4,92.97,15.97,0.69,18.55,9.88,18.8,0.61,1.12,4.22,0.74,0.15,0.0,7.44,0
3.0877020833373763,27.31363575900572,20240520,24.83,29.19,21.83,87.88,4.39,93.02,15.96,0.7,18.01,9.86,18.43,0.7,1.27,4.22,0.74,0.3,0.0,3.41,0
-15.075580356147396,27.77679606799404,20240518,20.66,29.51,13.63,55.5,1.54,89.16,15.98,0.49,8.73,7.83,8.79,3.84,5.57,0.08,0.51,2.26,0.0,0.0,0
-15.075580356147396,27.77679606799404,20240519,20.12,28.82,13.75,55.12,1.56,89.2,15.97,0.49,8.36,7.8,8.48,4.53,7.52,0.08,0.51,2.59,0.0,0.0,0
-15.075580356147396,27.77679606799404,20240520,18.82,27.72,11.87,53.69,1.36,89.29,15.96,0.49,7.51,7.77,7.57,5.3,8.37,0.08,0.51,3.21,0.0,0.0,0
8.05497680609934,24.07858446995324,20240518,30.58,37.4,25.29,54.81,3.3,92.07,17.31,0.43,15.2,10.28,15.62,2.61,4.28,0.06,0.43,0.58,0.0,1.29,0
8.05497680609934,24.07858446995324,20240519,26.68,30.44,23.83,75.06,4.12,92.17,17.3,0.43,17.52,10.27,17.64,4.04,5.6,0.06,0.43,2.59,0.0,1.59,0
8.05497680609934,24.07858446995324,20240520,27.02,32.95,22.55,68.19,4.2,92.2,17.29,0.43,15.75,10.26,15.93,3.34,4.31,0.06,0.43,2.7,0.0,1.91,0
-14.657311406302863,-56.588448370379126,20240518,28.53,36.15,22.37,54.69,1.44,97.75,15.98,0.48,12.08,7.96,12.57,2.02,3.45,0.31,0.49,1.02,0.0,0.03,0
-14.657311406302863,-56.588448370379126,20240519,26.56,33.32,21.75,60.19,1.8,97.93,15.97,0.48,12.63,7.93,12.82,3.02,5.23,0.31,0.49,1.6,0.0,0.0,0
-14.657311406302863,-56.588448370379126,20240520,25.13,33.38,18.82,57.88,1.68,97.82,15.96,0.48,10.68,7.9,11.05,2.58,4.31,0.31,0.49,1.78,0.0,0.0,0
-11.860373725675627,-56.86827484820152,20240518,26.26,32.68,21.77,72.12,1.92,97.74,15.98,0.65,14.89,8.33,15.08,0.8,1.16,4.54,0.73,0.29,0.0,0.15,0
-11.860373725675627,-56.86827484820152,20240519,25.19,32.33,19.44,68.38,2.04,97.8,15.97,0.65,13.12,8.3,13.24,0.98,1.34,4.54,0.73,0.6,0.0,0.0,0
-11.860373725675627,-56.86827484820152,20240520,24.15,31.91,18.05,69.44,1.77,97.73,15.96,0.64,12.51,8.28,12.63,0.85,1.25,4.54,0.72,0.64,0.0,0.0,0
-7.690802374198807,-39.061380937615525,20240518,26.07,32.88,21.68,76.5,3.95,95.72,15.98,0.55,15.93,8.8,16.36,2.97,4.34,0.08,0.56,1.37,0.0,7.63,0
-7.690802374198807,-39.061380937615525,20240519,25.41,31.43,21.58,75.62,4.05,95.75,15.97,0.56,15.38,8.77,15.56,3.34,5.0,0.08,0.57,0.62,0.0,1.16,0
-7.690802374198807,-39.061380937615525,20240520,24.83,31.24,20.82,76.31,3.59,95.8,15.96,0.56,14.95,8.75,15.2,3.7,4.72,0.08,0.57,2.3,0.0,2.24,0
-8.232333224690635,-60.1450546367045,20240518,26.84,29.99,24.3,88.12,5.22,99.71,15.98,0.78,19.23,8.68,19.59,0.7,1.11,4.55,0.84,0.27,0.0,1.21,0
-8.232333224690635,-60.1450546367045,20240519,26.35,30.02,23.26,90.0,4.03,99.7,15.97,0.77,19.17,8.66,19.47,0.98,1.45,4.55,0.83,0.2,0.0,0.45,0
-8.232333224690635,-60.1450546367045,20240520,24.91,28.69,21.92,90.88,2.82,99.65,15.96,0.77,17.94,8.63,18.07,0.79,1.43,4.55,0.83,0.25,0.0,12.76,0
-7.150490334338333,-51.72310397347479,20240518,29.13,37.24,23.3,62.31,2.77,98.24,15.98,0.62,14.4,8.8,14.65,0.97,1.45,4.4,0.65,0.3,0.0,1.63,0
-7.150490334338333,-51.72310397347479,20240519,29.3,36.54,22.83,63.69,2.74,98.23,15.97,0.62,15.26,8.77,15.5,0.91,1.22,4.4,0.65,0.32,0.0,0.21,0
-7.150490334338333,-51.72310397347479,20240520,28.13,33.05,24.11,66.5,3.81,98.23,15.96,0.62,15.32,8.75,15.62,0.84,1.08,4.4,0.65,0.45,0.0,0.39,0
13.711161213049692,-8.919939942901479,20240518,34.27,40.64,27.76,42.88,4.72,97.11,17.31,0.34,13.67,10.6,14.16,2.52,4.28,0.02,0.34,0.56,0.0,0.21,0
13.711161213049692,-8.919939942901479,20240519,34.96,40.19,29.62,38.31,4.84,96.93,17.3,0.34,12.88,10.6,13.37,2.53,3.88,0.02,0.34,0.71,0.0,0.71,0
13.711161213049692,-8.919939942901479,20240520,35.65,43.58,28.0,31.56,3.41,96.86,17.29,0.34,10.19,10.6,10.68,3.1,4.31,0.02,0.34,1.55,0.0,0.0,0
22.855230399320583,4.122247839198394,20240518,35.49,42.29,28.62,20.56,1.27,92.93,17.31,0.33,7.57,11.01,7.63,2.95,4.9,0.01,0.33,0.73,0.0,0.07,0
22.855230399320583,4.122247839198394,20240519,35.44,42.37,28.45,18.81,1.57,92.82,17.3,0.33,6.9,11.01,6.9,3.16,4.79,0.01,0.33,1.28,0.0,0.0,0
22.855230399320583,4.122247839198394,20240520,35.06,42.73,28.62,18.62,1.52,92.83,17.29,0.33,6.59,11.02,6.59,4.48,9.4,0.01,0.33,1.42,0.0,0.0,0
1.9048992443869464,19.58451203390236,20240518,26.09,29.3,23.95,90.62,4.64,97.08,17.31,0.62,19.47,9.71,19.78,0.81,1.45,4.42,0.62,0.3,0.0,5.99,0
1.9048992443869464,19.58451203390236,20240519,25.39,27.96,23.51,95.88,4.88,97.08,17.3,0.64,19.96,9.7,20.14,0.72,1.28,4.42,0.63,0.09,0.0,18.63,0
1.9048992443869464,19.58451203390236,20240520,26.45,29.53,23.05,91.81,4.88,97.06,17.29,0.65,20.32,9.68,20.51,0.7,1.28,4.42,0.64,0.07,0.0,8.73,0
23.84220465975711,13.86523541257938,20240518,31.1,39.38,22.98,12.44,1.26,94.67,18.64,0.16,3.36,11.04,3.42,5.42,8.2,0.01,0.16,3.67,0.0,0.0,0
23.84220465975711,13.86523541257938,20240519,30.81,40.51,21.3,12.0,1.23,94.53,18.63,0.16,3.05,11.04,3.17,4.52,7.35,0.01,0.16,3.19,0.0,0.0,0
23.84220465975711,13.86523541257938,20240520,31.6,41.63,21.79,11.0,1.29,94.46,18.62,0.16,2.93,11.05,3.05,3.92,6.3,0.01,0.16,2.52,0.0,0.0,0
10.05199794003,-12.3880054499309,20240518,28.0,32.8,24.08,78.56,4.66,98.31,17.31,0.67,17.82,10.42,18.62,1.6,2.47,0.06,0.66,0.16,0.0,13.78,0
10.05199794003,-12.3880054499309,20240519,27.51,31.0,24.65,84.75,5.02,98.19,17.3,0.69,19.23,10.41,19.78,1.54,3.01,0.06,0.66,0.54,0.0,14.49,0
10.05199794003,-12.3880054499309,20240520,27.67,31.79,24.95,84.31,4.5,98.23,17.29,0.7,19.35,10.4,19.78,1.97,3.34,0.06,0.68,0.66,0.0,8.06,0
27.597643806811757,2.583457272309971,20240518,33.47,41.69,26.76,17.69,2.18,96.63,18.64,0.33,5.31,11.13,5.31,4.91,9.68,0.01,0.33,1.29,0.0,0.0,0
27.597643806811757,2.583457272309971,20240519,32.81,40.71,25.09,12.06,1.68,96.61,18.63,0.33,3.54,11.14,3.54,5.8,9.16,0.01,0.33,3.46,0.0,0.0,0
27.597643806811757,2.583457272309971,20240520,32.57,39.38,26.37,14.69,2.16,96.68,18.62,0.33,4.58,11.16,4.58,5.63,8.98,0.01,0.33,3.06,0.0,0.0,0
33.39818500872569,-2.4304494540340897,20240518,17.81,24.68,11.97,54.12,1.8,88.17,18.64,0.33,7.51,11.19,7.51,2.94,4.86,0.02,0.34,0.63,0.0,0.04,0
33.39818500872569,-2.4304494540340897,20240519,16.7,23.96,11.74,57.0,2.02,88.1,18.63,0.34,7.32,11.21,7.32,5.17,9.9,0.02,0.34,1.83,0.0,6.77,0
33.39818500872569,-2.4304494540340897,20240520,14.4,21.69,7.41,49.94,1.05,88.4,18.62,0.34,5.13,11.23,5.19,5.09,7.05,0.02,0.34,2.72,0.0,0.01,0
