latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR,wild_fire_occurred
27.76538,9.19188,20240519,35.39,42.98,28.45,22.94,2.05,94.76,18.63,0.45,8.12,11.14,8.12,4.76,8.07,0.01,0.45,2.01,0.0,0.0,1
27.76538,9.19188,20240520,32.84,39.31,28.51,23.0,2.22,94.9,18.62,0.45,7.26,11.15,7.32,3.98,8.28,0.01,0.45,1.3,0.0,0.45,1
49.11809,43.74122,20240518,13.56,19.32,5.24,61.56,1.39,100.49,21.3,0.4,5.55,10.87,5.74,3.22,4.17,0.06,0.45,1.69,0.0,0.2,1
49.11809,43.74122,20240519,15.84,20.18,11.1,63.62,1.68,100.41,21.29,0.4,6.71,10.91,6.96,2.13,3.13,0.06,0.45,1.34,0.0,1.68,1
49.11809,43.74122,20240520,17.12,23.62,9.87,55.44,1.44,100.61,21.28,0.4,5.92,10.95,6.29,2.27,3.09,0.06,0.45,1.59,0.0,0.01,1
-14.14667,-65.22149,20240518,27.51,33.94,21.73,73.88,4.06,99.6,15.98,0.68,15.75,7.96,16.42,1.37,2.23,0.07,0.67,0.2,0.0,0.15,1
-14.14667,-65.22149,20240519,25.73,30.9,21.8,72.94,4.2,99.76,15.97,0.67,14.65,7.93,14.89,4.1,5.73,0.07,0.66,2.01,0.0,0.01,1
-14.14667,-65.22149,20240520,24.3,31.19,18.45,66.62,3.23,99.71,15.96,0.66,12.02,7.9,12.51,3.19,5.49,0.07,0.66,1.16,0.0,0.0,1
-14.0471,-65.2708,20240518,27.51,33.94,21.73,73.88,4.06,99.6,15.98,0.68,15.75,7.96,16.42,1.37,2.23,0.07,0.67,0.2,0.0,0.15,1
-14.0471,-65.2708,20240519,25.73,30.9,21.8,72.94,4.2,99.76,15.97,0.67,14.65,7.93,14.89,4.1,5.73,0.07,0.66,2.01,0.0,0.01,1
-14.0471,-65.2708,20240520,24.3,31.19,18.45,66.62,3.23,99.71,15.96,0.66,12.02,7.9,12.51,3.19,5.49,0.07,0.66,1.16,0.0,0.0,1
-14.13996,-65.21602,20240518,27.51,33.94,21.73,73.88,4.06,99.6,15.98,0.68,15.75,7.96,16.42,1.37,2.23,0.07,0.67,0.2,0.0,0.15,1
-14.13996,-65.21602,20240519,25.73,30.9,21.8,72.94,4.2,99.76,15.97,0.67,14.65,7.93,14.89,4.1,5.73,0.07,0.66,2.01,0.0,0.01,1
-14.13996,-65.21602,20240520,24.3,31.19,18.45,66.62,3.23,99.71,15.96,0.66,12.02,7.9,12.51,3.19,5.49,0.07,0.66,1.16,0.0,0.0,1
-7.31785,-43.32644,20240518,29.34,36.08,23.83,46.25,3.93,97.82,15.98,0.38,11.6,8.8,11.78,3.77,6.77,0.07,0.41,2.09,0.0,0.0,1
-7.31785,-43.32644,20240519,30.05,36.87,24.3,49.75,4.06,97.81,15.97,0.38,13.06,8.77,13.12,4.55,6.62,0.07,0.41,2.56,0.0,0.09,1
