latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR
-28.050994446069318,9.98799049514021,20240518,19.06,19.49,18.72,85.56,1.88,101.99,14.65,-999.0,11.29,6.0,11.6,5.98,7.49,0.0,-999.0,5.24,-999.0,0.12
-28.050994446069318,9.98799049514021,20240519,18.7,18.94,18.55,82.06,1.81,101.92,14.64,-999.0,10.62,5.97,10.86,2.89,5.2,0.0,-999.0,1.45,-999.0,0.01
-28.050994446069318,9.98799049514021,20240520,18.68,18.89,18.52,86.38,1.59,101.79,14.63,-999.0,11.23,5.93,11.47,3.39,4.98,0.0,-999.0,2.4,-999.0,0.02
-16.635920802638154,-59.61484471795002,20240518,29.16,35.13,24.21,52.94,2.59,99.16,15.98,0.4,13.06,7.7,13.24,1.62,4.05,0.08,0.4,0.19,0.0,0.07
-16.635920802638154,-59.61484471795002,20240519,25.4,30.4,20.83,56.19,2.62,99.48,15.97,0.39,11.23,7.67,11.35,3.51,5.42,0.08,0.4,1.84,0.0,0.02
-16.635920802638154,-59.61484471795002,20240520,24.81,32.4,18.94,49.44,2.48,99.28,15.96,0.39,9.34,7.64,9.46,3.16,4.9,0.08,0.4,1.84,0.0,0.0
-17.353447614571728,-63.89719896243214,20240518,20.95,24.43,18.17,83.25,3.78,95.68,15.98,0.53,13.31,7.56,13.43,1.84,2.52,3.02,0.52,0.3,0.0,0.61
-17.353447614571728,-63.89719896243214,20240519,17.95,20.68,15.77,69.06,3.38,95.94,15.97,0.53,9.03,7.53,9.22,2.25,3.33,3.02,0.52,1.23,0.0,0.05
-17.353447614571728,-63.89719896243214,20240520,18.95,24.01,14.55,70.0,2.52,95.64,15.96,0.52,9.77,7.5,10.01,1.38,2.31,3.02,0.52,0.44,0.0,0.01
35.75224017658654,16.701368552028597,20240518,20.76,21.8,20.28,83.69,3.08,101.17,18.64,-999.0,12.27,11.18,12.7,5.12,7.4,0.0,-999.0,1.57,-999.0,1.63
35.75224017658654,16.701368552028597,20240519,20.31,20.44,20.06,91.5,2.78,101.07,18.63,-999.0,13.37,11.2,13.55,5.31,7.14,0.0,-999.0,4.09,-999.0,0.03
35.75224017658654,16.701368552028597,20240520,20.61,20.87,20.41,97.69,2.16,100.8,18.62,-999.0,14.77,11.23,14.77,6.13,7.27,0.0,-999.0,4.12,-999.0,0.86
20.66021155304039,-17.475148036042917,20240518,17.99,18.12,17.83,95.5,1.88,101.47,18.64,-999.0,12.15,10.94,12.15,7.91,9.23,0.0,-999.0,6.55,-999.0,0.0
20.66021155304039,-17.475148036042917,20240519,18.27,18.53,17.94,94.31,1.92,101.38,18.63,-999.0,12.21,10.94,12.27,8.84,9.66,0.0,-999.0,8.15,-999.0,0.0
20.66021155304039,-17.475148036042917,20240520,18.6,19.04,18.14,90.56,2.22,101.38,18.62,-999.0,11.9,10.95,12.02,9.15,10.09,0.0,-999.0,7.95,-999.0,0.0
7.681117721661607,-13.026646107030615,20240518,28.69,29.02,28.01,83.0,5.89,101.13,17.31,0.64,19.9,10.21,20.32,2.47,4.39,0.23,0.62,0.84,0.0,7.01
7.681117721661607,-13.026646107030615,20240519,28.15,28.69,27.17,85.44,5.75,101.06,17.3,0.65,19.84,10.2,20.32,3.48,4.06,0.23,0.63,3.02,0.0,7.93
7.681117721661607,-13.026646107030615,20240520,28.63,29.15,27.76,84.56,5.62,101.11,17.29,0.65,20.14,10.19,20.63,4.32,6.02,0.23,0.63,3.09,0.0,5.08
25.980414269725166,5.407696849528847,20240518,32.68,40.49,24.59,22.62,2.08,91.39,17.31,0.32,7.26,11.09,7.26,4.06,6.87,0.01,0.33,1.95,0.0,0.0
